project,name
centos-cloud,centos-stream-9-v20250415
cos-cloud,cos-109-17800-436-106
cos-cloud,cos-113-18244-382-3
cos-cloud,cos-117-18613-164-124
cos-cloud,cos-121-18867-90-4
debian-cloud,debian-11-bullseye-v20250415
debian-cloud,debian-12-bookworm-v20250415
opensuse-cloud,opensuse-leap-15-6-v20250408-x86-64
oracle-linux-cloud,oracle-linux-8-v20250322
oracle-linux-cloud,oracle-linux-9-v20250322
rhel-cloud,rhel-8-v20250415
rhel-cloud,rhel-9-v20250415
rhel-sap-cloud,rhel-8-10-sap-v20250415
rhel-sap-cloud,rhel-8-4-sap-v20250415
rhel-sap-cloud,rhel-8-6-sap-v20250415
rhel-sap-cloud,rhel-8-8-sap-v20250415
rhel-sap-cloud,rhel-9-0-sap-v20250415
rhel-sap-cloud,rhel-9-2-sap-v20250415
rhel-sap-cloud,rhel-9-4-sap-v20250415
rocky-linux-accelerator-cloud,rocky-linux-8-optimized-gcp-nvidia-550-v20250415
rocky-linux-accelerator-cloud,rocky-linux-8-optimized-gcp-nvidia-570-v20250415
rocky-linux-accelerator-cloud,rocky-linux-8-optimized-gcp-nvidia-latest-v20250415
rocky-linux-accelerator-cloud,rocky-linux-9-optimized-gcp-nvidia-550-v20250415
rocky-linux-accelerator-cloud,rocky-linux-9-optimized-gcp-nvidia-570-v20250415
rocky-linux-accelerator-cloud,rocky-linux-9-optimized-gcp-nvidia-latest-v20250415
rocky-linux-cloud,rocky-linux-8-optimized-gcp-v20250415
rocky-linux-cloud,rocky-linux-8-v20250415
rocky-linux-cloud,rocky-linux-9-optimized-gcp-v20250415
rocky-linux-cloud,rocky-linux-9-v20250415
suse-cloud,sles-12-sp5-v20250408-x86-64
suse-cloud,sles-15-sp5-v20250226-x86-64
suse-cloud,sles-15-sp6-v20250409-x86-64
suse-sap-cloud,sles-12-sp5-sap-v20250408-x86-64
suse-sap-cloud,sles-15-sp3-sap-v20250408-x86-64
suse-sap-cloud,sles-15-sp4-sap-v20250221-x86-64
suse-sap-cloud,sles-15-sp5-sap-v20250408-x86-64
suse-sap-cloud,sles-15-sp6-sap-v20250409-x86-64
suse-sap-cloud,sles-sap-15-sp4-hardened-v20250411-x86-64
suse-sap-cloud,sles-sap-15-sp5-hardened-v20250408-x86-64
suse-sap-cloud,sles-sap-15-sp6-hardened-v20250409-x86-64
ubuntu-os-accelerator-images,ubuntu-accelerator-2204-amd64-with-nvidia-550-v20250425
ubuntu-os-accelerator-images,ubuntu-accelerator-2204-amd64-with-nvidia-570-v20250425
ubuntu-os-accelerator-images,ubuntu-accelerator-2404-amd64-with-nvidia-550-v20250502a
ubuntu-os-accelerator-images,ubuntu-accelerator-2404-amd64-with-nvidia-570-v20250502a
ubuntu-os-cloud,ubuntu-2004-focal-v20250425
ubuntu-os-cloud,ubuntu-2204-jammy-v20250430
ubuntu-os-cloud,ubuntu-2404-noble-amd64-v20250502a
ubuntu-os-cloud,ubuntu-2410-oracular-amd64-v20250502
ubuntu-os-cloud,ubuntu-2504-plucky-amd64-v20250424
ubuntu-os-cloud,ubuntu-minimal-2004-focal-v20250502
ubuntu-os-cloud,ubuntu-minimal-2204-jammy-v20250502
ubuntu-os-pro-cloud,ubuntu-minimal-pro-2004-focal-v20250425
ubuntu-os-pro-cloud,ubuntu-minimal-pro-2204-jammy-v20250501
ubuntu-os-pro-cloud,ubuntu-minimal-pro-2404-noble-amd64-v20250502
ubuntu-os-pro-cloud,ubuntu-pro-1604-xenial-v20250501
ubuntu-os-pro-cloud,ubuntu-pro-1804-bionic-v20250502
ubuntu-os-pro-cloud,ubuntu-pro-2004-focal-v20250425
ubuntu-os-pro-cloud,ubuntu-pro-2204-jammy-v20250430
ubuntu-os-pro-cloud,ubuntu-pro-2404-noble-amd64-v20250502a
ubuntu-os-pro-cloud,ubuntu-pro-fips-1804-bionic-v20250502
ubuntu-os-pro-cloud,ubuntu-pro-fips-2004-focal-v20250411
ubuntu-os-pro-cloud,ubuntu-pro-fips-updates-2204-jammy-v20250430
cos-cloud,cos-beta-121-18867-90-4
cos-cloud,cos-dev-125-19014-0-0
cos-cloud,cos-stable-117-18613-164-124
fedora-coreos-cloud,fedora-coreos-42-20250410-3-2-gcp-x86-64
fedora-coreos-cloud,fedora-coreos-42-20250427-1-0-gcp-x86-64
fedora-coreos-cloud,fedora-coreos-42-20250427-2-0-gcp-x86-64
ubuntu-os-cloud,ubuntu-minimal-2404-noble-amd64-v20250501
ubuntu-os-cloud,ubuntu-minimal-2410-oracular-amd64-v20250501
ubuntu-os-cloud,ubuntu-minimal-2504-plucky-amd64-v20250430
